0.239,0.324,0.173,0.173,0.324,0.498,0.655,0.173,0.655,0.232,0,0.268,0.173,0.173,0.239,0.2835,0.173,0.846,0.498,0.324,0.405,0.405,0.405,0.405,0.405,0.405,0.727,0.405,0.7465,0.405,0,0.482,0.405,0.405,0.405,0.405,0.405,0.416,0.5845,0.424,0.5975,0.5975,0.5975,0.5975,0.5975,0.5975,0.8175,0.5975,0.704,0.5975,0,0.5975,0.5975,0.5975,0.5975,0.5975,0.5975,0.8015,0.704,0.671,0.243,0.243,0.243,0.243,0.243,0.243,0.361,0.243,0.361,0.243,0,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.048,0.239,0.1495,0.1205,0.048,0.048,0.1505,0.1205,0.048,0.154,0,0.069,0.048,0.059,0.048,0.059,0.048,0.048,0.1135,0.176
0.268,0.324,0.268,0.268,0.324,0.498,0.655,0.268,0.655,0.268,0.268,0,0.268,0.268,0.268,0.2835,0.268,0.846,0.498,0.324,0.482,0.482,0.482,0.482,0.482,0.482,0.727,0.482,0.7465,0.482,0.482,0,0.482,0.482,0.482,0.482,0.482,0.482,0.5845,0.482,0.596,0.596,0.596,0.596,0.596,0.596,0.8175,0.596,0.704,0.596,0.5975,0,0.596,0.596,0.596,0.596,0.596,0.8015,0.704,0.671,0.1435,0.1885,0.1435,0.1435,0.1435,0.1435,0.361,0.1435,0.361,0.1435,0.243,0,0.1435,0.1435,0.1435,0.168,0.1435,0.1435,0.147,0.177,0.069,0.239,0.1495,0.1205,0.069,0.069,0.1505,0.1205,0.069,0.154,0.069,0,0.069,0.069,0.069,0.069,0.069,0.069,0.1135,0.176
0.239,0.324,0.1165,0.173,0.324,0.498,0.655,0.138,0.655,0.232,0.173,0.268,0,0.1165,0.239,0.2835,0.089,0.846,0.498,0.324,0.0395,0.257,0.129,0.129,0.0395,0.0395,0.727,0.166,0.7465,0.34,0.405,0.482,0,0.226,0.0945,0.34,0.0395,0.416,0.5845,0.424,0.1445,0.2515,0.2735,0.482,0.1145,0.1145,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0,0.2995,0.194,0.58,0.073,0.8015,0.704,0.671,0.0355,0.1885,0.0565,0.1135,0.0355,0.0355,0.361,0.1135,0.361,0.143,0.243,0.1435,0,0.0565,0.041,0.168,0.0355,0.1025,0.147,0.177,0.0435,0.239,0.1495,0.1205,0.0435,0.0435,0.1505,0.1205,0.048,0.154,0.048,0.069,0,0.059,0.0435,0.059,0.0435,0.0435,0.1135,0.176
0.239,0.324,0.1165,0.173,0.324,0.498,0.655,0.138,0.655,0.232,0.173,0.268,0.1165,0,0.239,0.2835,0.1165,0.846,0.498,0.324,0.226,0.257,0.226,0.226,0.226,0.226,0.727,0.226,0.7465,0.34,0.405,0.482,0.226,0,0.226,0.34,0.226,0.416,0.5845,0.424,0.2995,0.2995,0.2995,0.482,0.2995,0.2995,0.8175,0.2995,0.704,0.4785,0.5975,0.596,0.2995,0,0.2995,0.58,0.2995,0.8015,0.704,0.671,0.0565,0.1885,0.0565,0.1135,0.0565,0.0565,0.361,0.1135,0.361,0.143,0.243,0.1435,0.0565,0,0.0565,0.168,0.0565,0.1025,0.147,0.177,0.059,0.239,0.1495,0.1205,0.059,0.059,0.1505,0.1205,0.059,0.154,0.059,0.069,0.059,0,0.059,0.059,0.059,0.059,0.1135,0.176
0.239,0.324,0.239,0.239,0.324,0.498,0.655,0.239,0.655,0.239,0.239,0.268,0.239,0.239,0,0.2835,0.239,0.846,0.498,0.324,0.0945,0.257,0.129,0.129,0.0945,0.0945,0.727,0.166,0.7465,0.34,0.405,0.482,0.0945,0.226,0,0.34,0.0945,0.416,0.5845,0.424,0.194,0.2515,0.2735,0.482,0.194,0.194,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0.194,0.2995,0,0.58,0.194,0.8015,0.704,0.671,0.041,0.1885,0.0565,0.1135,0.041,0.041,0.361,0.1135,0.361,0.143,0.243,0.1435,0.041,0.0565,0,0.168,0.041,0.1025,0.147,0.177,0.0155,0.239,0.1495,0.1205,0.0175,0.0175,0.1505,0.1205,0.048,0.154,0.048,0.069,0.0435,0.059,0,0.059,0.0435,0.029,0.1135,0.176
0.2835,0.324,0.2835,0.2835,0.324,0.498,0.655,0.2835,0.655,0.2835,0.2835,0.2835,0.2835,0.2835,0.2835,0,0.2835,0.846,0.498,0.324,0.34,0.34,0.34,0.34,0.34,0.34,0.727,0.34,0.7465,0.34,0.405,0.482,0.34,0.34,0.34,0,0.34,0.416,0.5845,0.424,0.58,0.58,0.58,0.58,0.58,0.58,0.8175,0.58,0.704,0.58,0.5975,0.596,0.58,0.58,0.58,0,0.58,0.8015,0.704,0.671,0.168,0.1885,0.168,0.168,0.168,0.168,0.361,0.168,0.361,0.168,0.243,0.168,0.168,0.168,0.168,0,0.168,0.168,0.168,0.177,0.059,0.239,0.1495,0.1205,0.059,0.059,0.1505,0.1205,0.059,0.154,0.059,0.069,0.059,0.059,0.059,0,0.059,0.059,0.1135,0.176
0.239,0.324,0.1165,0.173,0.324,0.498,0.655,0.138,0.655,0.232,0.173,0.268,0.089,0.1165,0.239,0.2835,0,0.846,0.498,0.324,0.0395,0.257,0.129,0.129,0.0395,0.0395,0.727,0.166,0.7465,0.34,0.405,0.482,0.0395,0.226,0.0945,0.34,0,0.416,0.5845,0.424,0.1445,0.2515,0.2735,0.482,0.1145,0.1145,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0.073,0.2995,0.194,0.58,0,0.8015,0.704,0.671,0.0355,0.1885,0.0565,0.1135,0.0355,0.0355,0.361,0.1135,0.361,0.143,0.243,0.1435,0.0355,0.0565,0.041,0.168,0,0.1025,0.147,0.177,0.0435,0.239,0.1495,0.1205,0.0435,0.0435,0.1505,0.1205,0.048,0.154,0.048,0.069,0.0435,0.059,0.0435,0.059,0,0.0435,0.1135,0.176
0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0,0.846,0.846,0.416,0.416,0.416,0.416,0.416,0.416,0.727,0.416,0.7465,0.416,0.416,0.482,0.416,0.416,0.416,0.416,0.416,0,0.5845,0.424,0.8015,0.8015,0.8015,0.8015,0.8015,0.8015,0.8175,0.8015,0.8015,0.8015,0.8015,0.8015,0.8015,0.8015,0.8015,0.8015,0.8015,0,0.8015,0.8015,0.1025,0.1885,0.1025,0.1135,0.1025,0.1025,0.361,0.1135,0.361,0.143,0.243,0.1435,0.1025,0.1025,0.1025,0.168,0.1025,0,0.147,0.177,0.029,0.239,0.1495,0.1205,0.029,0.029,0.1505,0.1205,0.048,0.154,0.048,0.069,0.0435,0.059,0.029,0.059,0.0435,0,0.1135,0.176
0.498,0.498,0.498,0.498,0.498,0.498,0.655,0.498,0.655,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.846,0,0.498,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.727,0.5845,0.7465,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0,0.5845,0.704,0.704,0.704,0.704,0.704,0.704,0.8175,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.8015,0,0.704,0.147,0.1885,0.147,0.147,0.147,0.147,0.361,0.147,0.361,0.147,0.243,0.147,0.147,0.147,0.147,0.168,0.147,0.147,0,0.177,0.1135,0.239,0.1495,0.1205,0.1135,0.1135,0.1505,0.1205,0.1135,0.154,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0,0.176
0.324,0.324,0.324,0.324,0.324,0.498,0.655,0.324,0.655,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.846,0.498,0,0.424,0.424,0.424,0.424,0.424,0.424,0.727,0.424,0.7465,0.424,0.424,0.482,0.424,0.424,0.424,0.424,0.424,0.424,0.5845,0,0.671,0.671,0.671,0.671,0.671,0.671,0.8175,0.671,0.704,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.8015,0.704,0,0.177,0.1885,0.177,0.177,0.177,0.177,0.361,0.177,0.361,0.177,0.243,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0,0.176,0.239,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0
